store_code,store_name,item_code,to_qty,sorted_qty_excl_059,gap,status
007,007 - Buridah - Almoosa - MAATC,336442,2.00,4.00,-2.00,OVER
007,007 - Buridah - Almoosa - MAATC,336448,2.00,4.00,-2.00,OVER
007,007 - Buridah - Almoosa - MAATC,336456,2.00,4.00,-2.00,OVER
007,007 - Buridah - Almoosa - MAATC,336460,2.00,4.00,-2.00,OVER
011,011 - Hail - Almoosa - MAATC,336118,2.00,4.00,-2.00,OVER
011,011 - Hail - Almoosa - MAATC,336132,2.00,4.00,-2.00,OVER
011,011 - Hail - Almoosa - MAATC,336168,2.00,0.00,2.00,SHORT
011,011 - Hail - Almoosa - MAATC,336172,2.00,4.00,-2.00,OVER
011,011 - Hail - Almoosa - MAATC,336191,3.00,5.00,-2.00,OVER
011,011 - Hail - Almoosa - MAATC,336204,2.00,4.00,-2.00,OVER
011,011 - Hail - Almoosa - MAATC,336210,2.00,4.00,-2.00,OVER
011,011 - Hail - Almoosa - MAATC,336216,2.00,4.00,-2.00,OVER
011,011 - Hail - Almoosa - MAATC,336238,2.00,4.00,-2.00,OVER
011,011 - Hail - Almoosa - MAATC,336268,2.00,4.00,-2.00,OVER
011,011 - Hail - Almoosa - MAATC,336354,2.00,4.00,-2.00,OVER
011,011 - Hail - Almoosa - MAATC,336396,2.00,4.00,-2.00,OVER
011,011 - Hail - Almoosa - MAATC,336424,2.00,4.00,-2.00,OVER
011,011 - Hail - Almoosa - MAATC,336430,2.00,4.00,-2.00,OVER
011,011 - Hail - Almoosa - MAATC,336436,2.00,4.00,-2.00,OVER
011,011 - Hail - Almoosa - MAATC,336442,2.00,4.00,-2.00,OVER
011,011 - Hail - Almoosa - MAATC,336448,2.00,4.00,-2.00,OVER
011,011 - Hail - Almoosa - MAATC,336460,2.00,4.00,-2.00,OVER
019,019 - Geel Alnaka - MAATC,336132,2.00,4.00,-2.00,OVER
019,019 - Geel Alnaka - MAATC,336168,2.00,0.00,2.00,SHORT
